lesson	授業	じゅぎょう	男子も女子も学校で料理の授業をとるべきだ。	
arbitrarily, willfully, as one pleases	勝手に	かってに	彼はなんでも自分のわがまま勝手にしたがる。	
breeding, multiplication	繁殖	はんしょく	うさぎは繁殖が早い。	
death in the line of duty	殉職	じゅんしょく		
split, division, break up	分裂	ぶんれつ	内部分裂した家は倒れる。	
bus conductor	車掌	しゃしょう	バスの車掌は彼女に、料金を払えないので降りるようにと言った。	
special, particular	特殊	とくしゅ	特殊な才能を与えられた動物もいる。 私は特殊部隊に勤務する。	
blacksmith	鍛冶	かじ		
architecture	建築	けんちく	ローマは古代建築で有名だ。	
machine gun	機関銃	きかんじゅう		
kidnap	誘拐	ゆうかい	その子は帰宅の途中で誘拐されたのかもしれない。	
loan	融資	ゆうし	銀行はその会社に融資をした。	
ideal, philosophy	理念	りねん	彼の政治理念は世界平和を築くことである	
prosperous tranquility	昌平	しょうへい		
expulsion	駆逐	くちく	彼らは日本品を市場から駆逐しようとしている。	
madly, incredibly	猛烈	もうれつ		
funeral	葬式	そうしき		
blink of an eye, moment	瞬間	しゅんかん	私は決定的瞬間を写真に撮った。	
hobby	趣味	しゅみ		
specialist	専門	せんもん		
boss, superior	上司	じょうし		
existence (or non existence)	有無	うむ		
absence	欠席	けっせき	欠席[けっせき]の 有無[うむ]を 確[たし]かめた。	
eternal	永遠	えいえん	彼[かれ]は 彼女[かのじょ]に 永遠[えいえん]の 愛[あい]を 誓[ちか]った。	
hope, wish	希望	きぼう	希望がある限り、可能性はある。	
history	歴史	れきし		
supply and demand	需要と供給	じゅようときょうきゅう	最近、この製品に対する需要が供給を上まわっている。	
request, demand	要求	ようきゅう	労働者達は経営者に給料の引き上げを要求した。	
recording, registration	登録	とうろく		
everlasting, eternal	永遠	えいえん	君を永遠に愛します。	
tax reduction	減税	げんぜい	私たちは政府が減税してくれるのを期待すべきです。	
shooting, filming	撮影	さつえい	彼等は実際の砂漠で映画を撮影した。	
bible	聖書	せいしょ		
courage	勇敢	ゆうかん	彼らは勇敢に戦ったけれども、敗北した。	
stethoscope	聴診器	ちょうしんき		
applause	喝采	かっさい	その演説は大喝采をもって歓迎された。	
announcement	発表	はっぴょう	私申し立ては本当だと彼は発表した。	
wire	針金	はりがね	針金は電気を伝えるのにもちいられる。	
basis, foundation	根拠	こんきょ	そのうわさは全く根拠がなかった。	
secretion	分泌物	ぶんぴつぶつ		
follow footsteps/traces	足跡を辿る	あしあとをたどる		
patience	我慢	がまん	私はもう彼のあの意地悪な態度に我慢できない。	
manga	漫画	まんが		
punishment	刑罰	けいばつ	それは罪人に対する最も人道的な刑罰ではないか。	
consultation	諮問	しもん		
clear, obvious	明白	めいはく	彼らがうそを言ったということは明白だ。	
call attention to	注意を促す	ちゅういをうながす	警察たちはすりへの注意を促した。	
airline ticket	航空券	こうくうけん		
description	記述	きじゅつ	自然の驚異[きょうい]を記述した本。	
international	国際	こくさい		
(re)solution	解決	かいけつ	アメリカは自国の問題を自力で解決するであろう。	
equal	平等	びょうどう	人間はみな平等である。	
polite	丁寧	ていねい		
family dependents	扶養家族	ふようかぞく	私には扶養家族はいません	
corkscrew	栓抜き	せんぬき		
approve	承諾	しょうだく	私はその計画を承諾することができません。	
regrettable	遺憾	いかん	君行動には遺憾な点が多い。	
situation/attitude/state	状況/態度/状態	じょうきょう/たいど/じょうたい	この状況での彼の態度と精神状態は非常に悪い	
subordinate, underling	部下	ぶか		
tradition	伝統	でんとう		
president	大統領	だいとうりょう		
goddess	姫神	ひめがみ		
reshuffle, replacement	更迭	こうてつ		
diving	潜水	せんすい		
gorge, ravine, mountain river valley	渓谷	けいこく		
inertia	惰力	だりょく		
famous author	著者	ちょしゃ		
stern	堅苦しい	かたくるしい		
temporary, extra	臨時	りんじ	彼らには臨時救助が必要だ。	
exhibition	展覧会	てんらんかい		
refusal	拒絶	きょぜつ	彼女は私たちの提案を拒絶した。	
symbol	象徴	しょうちょう	ライオンは勇気の象徴として用いられることが多い。	
extinction	絶滅	ぜつめつ	象は絶滅する危険がある。	
valuables	貴重品	きちょうひん	貴重品はフロントにお預けください。	
welcome, reception	歓迎	かんげい	彼は両腕を広げて私たちを歓迎した。	
overcome	克服	こくふく	私がガンを克服したのは奇跡(きせき)である。	
inferiority complex	劣等感	れっとうかん	彼はスポーツのおかげで劣等感が直った。	
achievement	功績	こうせき		
solicitation	勧誘	かんゆう	彼は私たちに投票(とうひょう)を勧誘した。	
encouragement	激励	げきれい	あなたの激励の言葉に励(はげ)まされました。	
technique	技術	ぎじゅつ		
number	数字	すうじ		
outline, summary	概要	がいよう	彼は私に事件の概要を説明した。	
solar power	太陽光発電	たいようこうはつでん		
research	研究	けんきゅう		
New Years message	年賀状	ねんがじょう	年賀状を書くのは日本の習慣である。	
imaginary, fanciful, fictitious	架空	かくう	あなたは本当に幽霊を見たのではない。それは架空の物でしかなかったのだ。	
threat	脅迫	きょうはく	あなたの返答はほとんど脅迫に等しい。	
employee	従業員	じゅうぎょういん		
office	事務所	じむしょ		
"it's been a long time"	久し振り	ひさしぶり	彼は久しぶりに学校に来た。	
convince, persuade	納得	なっとく	長時間かかったが、とうとう彼を納得させることができた。	
widow	寡婦	かふ		
over the fence	垣根越し	かきねごし		
atelier, studio, workshop	工房	こうぼう		
policy	政策	せいさく	新しい出生政策は人口増加ゼロをめざしています。	
criticism	批判	ひはん		
torrential rain	豪雨	ごうう		
obstacle, hindrance	支障	ししょう	私が行くことに支障は何もありません。	
result	結果	けっか	私はその結果にがっかりした。	
return/one way (ticket)	往復／片道	おうふく/かたみち		
conquest	征服	せいふく	ノルマン人は１０６６年にイングランドを征服した。	
diameter/radius	直径／半径	ちょっけい/はんけい		
morals	道徳	どうとく	生徒達に高度な道徳水準を課する。	
thoroughly, completely	徹底的	てってい	あなたは徹底した人間嫌いですね。 その家を徹底的に調べてから購入した。	
penal servitude	懲役	ちょうえき	懲役３年の判決を受けた。	
subtle	微妙	びみょう		
post, contribute	投稿	とうこう	男性からの投稿や記事へのレスは一切お断りしております。	
economy, saving	節約	せつやく	衣服を買うのを節約しなければならない。	
artless, unsophisticated	素朴	そぼく	素朴な疑問なんだけど、・・・トラとライオンはどっちが強いの？	
pure, genuine, unmixed	純粋	じゅんすい	近ごろでは、結婚の動機は必ずしも純粋な物ではない。	
shopping street	商店街	しょうてんがい		
imbalance, unfairness	不均衡	ふきんこう		
draft	原稿	げんこう		
earning points	点を稼ぐ	てんをかせぐ		
cookery	料理	りょうり	彼女の料理の腕前は上がって来ている。	
manufacture	製造	せいぞう		
particle	粒子	りゅうし	空気中のごく小さい粒子がガンのもとになり得る。	
useful	便利	べんり		
leave it as you would find it	立つ鳥跡を濁さず	たつとりあとをにごさず		
paid leave	有給休暇	ゆうきゅうきゅうか	一週間の有給休暇をください。	
mutual friend	共通の友人	きょうつうのゆうじん	私[わたし] 達[たち]は 共通[きょうつう]の 友人[ゆうじん]を 通[つう]じて 知り合[しりあ]いました。	
verification of a hypothesis	仮説の検証	かせつのけんしょう		
tiny bit, smidgen	微塵	みじん	彼には親切心などみじんもない。	
persevere, stick to it	頑張る	がんばる		
with utmost effort	一生懸命	いっしょうけんめい		
strategy	戦略	せんりゃく	その会社の急速な成長はその独特な戦略による物だった。	
bench, temporary job	腰掛け	こしかけ	腰掛けのつもりだったのに、気がついたら私もこの会社で古株になってしまった。	
male/female	雄／雌	おす/めす	オスとメスの区別がつきにくい。	
maintaining public order	治安維持	ちあんいじ		
room for improvement	発展の余地	はってんのよち		
background	背景	はいけい	彼はテレビでその戦争の政治的背景を説明した。 背景には山脈が見えます。	
assistance, supplementary support	補助	ほじょ	その飛行機は補助ロケットを使って離陸した。	
wake up	目覚める	めざめる	私はこんなに早く目覚めたことはない。	
in the middle of the night	真夜中	まよなか		
complicated	複雑	ふくざつ	しかし文明が一層複雑になって来ると、よりよい伝達方法が必要になって来た。	
existence, being	存在	そんざい	天然資源は無限に存在するわけではない。	
natural resources	天然資源	てんえんしげん	天然資源は無限に存在するわけではない。	
preservation, storage	保存	ほぞん	よい伝統は保存されるべきだ。	
pier	桟橋	さんばし		
60th birthday	還暦	かんれき		
refrigerator	冷蔵庫	れいぞうこ		
procrastination, neglect (of duties)	怠慢	たいまん	彼は義務怠慢で非難された。	
amicable, friendly (animal)	人懐っこい	ひとなつっこい	馬は人なつこい動物である。	
contentment, joy	幸福	こうふく	幸福を願うのはごく普通のことだ。	
assignment, transfer, conveyance	譲渡	じょうと		
kindergarten	幼稚園	ようちえん		
amusement park	遊園地	ゆうえんち		
doubt, question, suspicion	疑問	ぎもん	弁護士は彼の無罪に疑問を持った。	
guess	推測	すいそく		
